vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
c5215826-6237-4a33-9312-72c1df909881,2023-01-25 09:10:54,54.88135039273247,78.95086101800565,164.77597272736512,287.8089860943348,7527.0,69.34557502116084,0.5535890138304125,network,medium,waiting
29690bc6-1f34-403b-b509-a1ecb1834fb8,2023-01-26 04:46:34,71.51893663724195,29.901882588683115,,362.27356881966176,5348.0,41.39603965431024,0.34985621240730336,io,high,completed
2e55abc3-5bad-46cb-b445-a577f5e9bf2a,2023-01-13 23:39:47,,92.70919512014967,203.67484711501893,231.4679027444394,5483.0,24.602548884707854,0.79627697356617,io,medium,completed
e672e32f-c134-4fbc-992b-34eb63bef6bf,2023-02-09 11:45:49,54.48831829968969,88.10095962792755,,195.63995376557352,5876.0,16.456669858380668,0.5295107822540652,compute,high,completed
f38b8b50-6926-4533-be4f-89ad11624071,2023-06-14 08:27:26,42.36547993389047,,,359.45153695723053,3361.0,55.30799161503772,0.35190726351980717,,medium,waiting
ad14d5d1-4e96-48ca-9893-1baaa47e4cab,2023-02-06 16:44:41,64.58941130666561,62.00801572713125,580.5698364890883,115.93161048505229,4766.0,63.13767143999519,,io,low,completed
5651505d-14a2-41d6-989b-eec0aac9b922,2023-06-15 18:04:04,43.75872112626925,22.456429249411503,429.1396396095887,272.9604167203784,9008.0,60.15390381796911,0.46124638823237696,compute,high,completed
e5970e5c-0350-4131-bd6c-4bd7e2c98df1,,,85.43815471675246,685.2828127526033,,,14.191355528380544,0.2425384275256116,network,high,running
7fc95f4c-f561-4dd5-8465-aec2b388bd5b,2023-05-20 19:09:26,96.36627605010293,4.388441255096842,902.8277168590841,367.97905592877584,9984.0,21.87669373238963,,io,medium,running
7fd9a664-1da8-4ae9-8a04-3c341d32d35c,2023-07-10 11:32:51,38.34415188257777,16.44188143630516,779.7913445722813,382.7566963342774,2989.0,42.16084672041248,0.1391872331187899,io,medium,running
ea8455b0-251c-4470-b7ea-8d40476e3434,2023-01-14 19:59:41,79.17250380826646,2.972252291872135,926.3740297070241,173.5593253511245,8644.0,55.70267258499558,0.7794988270273124,compute,medium,completed
eb9c26c6-d99f-40a4-8640-7631ad451034,,,20.0765780897026,941.0693853534948,435.0137737235639,5185.0,66.37989277787378,0.7001446638053798,,medium,completed
0ddae1eb-86c9-4448-b1b8-e7be96875ad8,2023-04-11 22:45:15,56.80445610939323,2.3556261694841374,722.5521460087667,143.34039922287724,9788.0,79.70075630651479,0.9443874747330262,io,medium,waiting
196e5fec-ae85-4b5c-a2ca-7f34cdfd00b6,2023-04-20 06:07:18,92.5596638292661,,34.37853909632338,433.9588479632569,886.0,54.131186105969434,0.20464426571212568,network,,waiting
bb9d0b5b-c787-4138-ac46-4e250c802e75,2023-04-22 16:00:56,7.103605819788694,96.51663851759277,919.1721699008262,275.62991155530773,9117.0,39.96762536398085,0.8547249472467794,io,low,running
194210b1-4e68-4019-a292-5d07111e7354,2023-03-07 01:40:48,,44.40411245087644,664.6856504653719,245.00424717039888,7358.0,86.68051051966744,0.8605806758541958,io,medium,waiting
3b85d1e1-4734-4d95-a96c-3c81584efae2,2023-02-07 19:00:38,2.021839744032572,89.3369023596935,208.41927362008096,199.2585075596433,1224.0,61.850135132032904,0.6974451918092537,compute,high,completed
,2023-06-28 06:55:25,83.2619845547938,41.71619076688634,493.1490074859254,103.74190696397584,3187.0,5.677628555426817,,compute,high,
00a10e10-fe7d-4d97-a6b2-06c051763611,2023-04-12 05:05:59,77.81567509498505,,887.4445038676911,,2010.0,32.82460714327495,0.5782905132178405,io,low,
fd28310b-be6f-4320-a664-de02274993d9,2023-01-18 11:22:21,87.00121482468191,46.62017593384079,437.1881150560703,77.05470159180177,9427.0,,0.2071643454371206,,low,waiting
f65e1c9b-2b40-4f50-a80c-4ce40d60ce70,2023-06-18 16:06:24,97.8618342232764,70.71200062883366,,264.72332933583556,3345.0,89.00994247818885,0.4823674811563622,io,low,waiting
5da32ae8-bd9c-4e95-840a-35498ef2d567,2023-02-07 17:21:05,79.91585642167236,76.10323678630996,,361.6567231045878,9825.0,52.187029388312176,0.5208305335712439,,medium,running
8ca4165d-f6c3-44e7-9045-b28e6534a114,2023-02-01 07:27:02,46.147936225293186,,88.57367901959967,348.3596743540972,1912.0,58.101865071782434,0.42384870981821865,io,low,running
74d08dd7-5b8c-4111-a6e3-d1566434c4af,2023-05-13 18:43:40,78.05291762864555,75.08693239568018,387.4492839507717,288.46580480118746,9174.0,50.007291675789226,,compute,low,waiting
ee09578f-c27d-4e85-b3ee-323a0d7a0eff,2023-07-19 04:48:30,11.827442586893323,17.494685098281227,433.68120550481757,214.91209620375568,1147.0,12.59030732694486,0.10775750901705372,compute,medium,running
d95eef15-c3a1-4120-b660-2c3bbbc5765e,2023-02-25 05:22:44,63.99210213275238,87.71007666370555,940.2623028174826,,6643.0,,0.16633198780192016,compute,low,running
b07941d5-3eb8-42dc-a03b-4fb81dbcb4c0,2023-07-09 22:40:00,14.33532874090464,4.481789360811872,296.77212112067485,386.12895397196496,,5.859939366575273,0.6334186821189375,network,high,completed
,2023-06-12 06:58:53,94.46689170495839,20.30882053643842,,481.35870776578946,8688.0,,0.7238511322125999,,high,waiting
40f62f6f-14c3-425b-8503-241e4f4ed0a7,2023-02-07 11:24:24,52.184832175007166,19.447470411661772,261.1567625008532,174.78350675743548,3686.0,,0.4542999151229987,,low,completed
ce27f2d1-6a11-4ed8-890f-6db13637840a,2023-05-14 00:42:05,41.46619399905236,74.77060134344565,757.368681181976,96.01126690792134,1183.0,77.19094327115523,0.42429915666172047,compute,medium,completed
decfa72d-f359-4731-8b45-8db3f2c4ea24,2023-06-02 16:21:22,26.455561210462697,64.20849448305248,854.9338343697548,,7875.0,72.44787758708914,0.1503653775745929,,,running
,2023-06-30 09:15:11,77.42336894342166,29.394859982313204,,355.5610576874761,1968.0,88.55497119351637,0.46957484637940095,io,high,running
a9d7b49c-6398-43d3-a5b5-160d28dde606,2023-04-16 21:57:10,45.615033221654855,79.50720126865315,335.80073364390495,132.91197797823023,925.0,,0.7548654187654366,network,low,completed
2abdee1d-e1bd-4c5f-b1cd-19d80c964336,2023-06-11 07:40:40,56.84339488686485,5.346181034112984,210.22450631814593,351.9970204416069,,1.391701056838568,0.20541593190587937,compute,low,waiting
